"id","text","subject","difficulty","options","correctOption","createdAt"
1,"Choose the synonym of ""Happy"".","English","easy","[""Sad"",""Joyful"",""Angry"",""Tired""]","B","2025-11-23T15:33:15.615Z"
2,"Identify the noun: ""The cat runs fast.""","English","easy","[""The"",""Cat"",""Runs"",""Fast""]","B","2025-11-23T15:33:15.615Z"
3,"Fill in the blank: He ___ to the market yesterday.","English","easy","[""Go"",""Gone"",""Went"",""Going""]","C","2025-11-23T15:33:15.615Z"
4,"Antonym of ""Ancient""?","English","medium","[""Old"",""Modern"",""Antique"",""Past""]","B","2025-11-23T15:33:15.615Z"
5,"Choose the correct spelling.","English","medium","[""Recieve"",""Receive"",""Riceive"",""Receve""]","B","2025-11-23T15:33:15.615Z"
6,"Idiom ""Break a leg"" means?","English","medium","[""Hurt yourself"",""Good luck"",""Break a bone"",""Dance""]","B","2025-11-23T15:33:15.615Z"
7,"Which is a conjunction?","English","hard","[""And"",""Run"",""Blue"",""Slowly""]","A","2025-11-23T15:33:15.615Z"
8,"Passive voice of ""I ate an apple"".","English","hard","[""An apple was eaten by me"",""An apple is eaten by me"",""I was eating an apple"",""Apple ate me""]","A","2025-11-23T15:33:15.615Z"
9,"5 + 7 = ?","Mathematics","easy","[""10"",""11"",""12"",""13""]","C","2025-11-23T15:33:15.615Z"
10,"Square root of 64?","Mathematics","easy","[""6"",""7"",""8"",""9""]","C","2025-11-23T15:33:15.615Z"
11,"Value of Pi (approx)?","Mathematics","easy","[""3.14"",""2.14"",""4.14"",""3.41""]","A","2025-11-23T15:33:15.615Z"
12,"15% of 200?","Mathematics","medium","[""20"",""30"",""40"",""25""]","B","2025-11-23T15:33:15.615Z"
13,"Solve: 2x + 4 = 10","Mathematics","medium","[""2"",""3"",""4"",""5""]","B","2025-11-23T15:33:15.615Z"
14,"Area of circle with radius 7?","Mathematics","medium","[""154"",""49"",""44"",""100""]","A","2025-11-23T15:33:15.615Z"
15,"Derivative of x^2?","Mathematics","hard","[""x"",""2x"",""x^2"",""2""]","B","2025-11-23T15:33:15.615Z"
16,"Sum of angles in a triangle?","Mathematics","hard","[""180"",""360"",""90"",""270""]","A","2025-11-23T15:33:15.615Z"
17,"Chemical symbol for Water?","Science","easy","[""HO"",""H2O"",""O2H"",""H2O2""]","B","2025-11-23T15:33:15.615Z"
18,"Planet closest to Sun?","Science","easy","[""Venus"",""Earth"",""Mercury"",""Mars""]","C","2025-11-23T15:33:15.615Z"
19,"Powerhouse of the cell?","Science","medium","[""Nucleus"",""Mitochondria"",""Ribosome"",""Golgi""]","B","2025-11-23T15:33:15.615Z"
20,"Speed of light?","Science","medium","[""3x10^8 m/s"",""3x10^6 m/s"",""300 km/h"",""Sound speed""]","A","2025-11-23T15:33:15.615Z"
21,"Atomic number of Carbon?","Science","medium","[""5"",""6"",""7"",""8""]","B","2025-11-23T15:33:15.615Z"
22,"Force = Mass x ?","Science","hard","[""Velocity"",""Acceleration"",""Distance"",""Time""]","B","2025-11-23T15:33:15.615Z"
23,"Odd one out: Apple, Banana, Carrot, Mango","Reasoning","easy","[""Apple"",""Banana"",""Carrot"",""Mango""]","C","2025-11-23T15:33:15.615Z"
24,"A is father of B. B is sister of C. How is A related to C?","Reasoning","easy","[""Father"",""Uncle"",""Brother"",""Grandfather""]","A","2025-11-23T15:33:15.615Z"
25,"Series: 2, 4, 8, 16, ?","Reasoning","medium","[""30"",""32"",""24"",""20""]","B","2025-11-23T15:33:15.615Z"
26,"If CAT = 3120, DOG = ?","Reasoning","hard","[""4157"",""4158"",""4156"",""4150""]","A","2025-11-23T15:33:15.615Z"
27,"CPU stands for?","Computer Science","easy","[""Central Process Unit"",""Central Processing Unit"",""Computer Personal Unit"",""Central Processor Unit""]","B","2025-11-23T15:33:15.615Z"
28,"Which is not a programming language?","Computer Science","easy","[""Python"",""Java"",""HTML"",""C++""]","C","2025-11-23T15:33:15.615Z"
29,"Binary of 10?","Computer Science","medium","[""1010"",""1001"",""1100"",""1000""]","A","2025-11-23T15:33:15.615Z"
30,"HTTP stands for?","Computer Science","medium","[""HyperText Transfer Protocol"",""HyperText Test Protocol"",""High Transfer Text Protocol"",""None""]","A","2025-11-23T15:33:15.615Z"
31,"Time complexity of Binary Search?","Computer Science","hard","[""O(n)"",""O(log n)"",""O(n^2)"",""O(1)""]","B","2025-11-23T15:33:15.615Z"
32,"1 Byte = ? bits","Computer Science","easy","[""4"",""8"",""16"",""32""]","B","2025-11-23T15:33:15.615Z"
33,"Capital of India?","General Knowledge","easy","[""Mumbai"",""Delhi"",""New Delhi"",""Kolkata""]","C","2025-11-23T15:33:15.615Z"
34,"Largest ocean?","General Knowledge","easy","[""Atlantic"",""Indian"",""Pacific"",""Arctic""]","C","2025-11-23T15:33:15.615Z"
35,"First man on Moon?","General Knowledge","medium","[""Neil Armstrong"",""Buzz Aldrin"",""Yuri Gagarin"",""Michael Collins""]","A","2025-11-23T15:33:15.615Z"
36,"Currency of Japan?","General Knowledge","medium","[""Yuan"",""Won"",""Yen"",""Dollar""]","C","2025-11-23T15:33:15.615Z"
